aardvark|anteater,placental
alluvium|deposit,sediment
almanac|annual,yearbook,yearly
almighty|omnipotent,powerful
alms|contribution,donation
aloha|acknowledgement,acknowledgment,ciao
aloof|distant,reserved,upstage
aloofness|distance,indifference,remoteness
aloud|loud,loudly
alp|mount,mountain
alphabetic|alphabetical,script
alphabetical|alphabetic,script
alright|fine,okay,satisfactory
also|besides,likewise,too
also-ran|contestant,loser
altar|construction,structure,table
alternation|sequence,succession
altruism|selflessness,unselfishness
altruistic|selfless,unselfish
always|e'er,ever,forever
am|americium,metal,modulation
amalgam|alloy,combination,metal
amalgamation|consolidation,integration,merger
amanuensis|secretary,stenographer
amaranth|grain,herb
amaretto|cordial,liqueur
amatory|amorous,loving,romantic
amazed|astonished,surprised
amazement|astonishment,feeling
amazingly|astonishingly,surprisingly
ambassadorial|diplomat,diplomatist
ambitiousness|ambition,drive
ambivalent|uncertain,unsure
ambler|pedestrian,stroller,walker
ambrosial|heavenly,tasty
ambulant|ambulatory,mobile
ambulation|walk,walking
amelioration|betterment,improvement,melioration
amenability|cooperativeness,flexibility,tractability
amendment|correction,rectification,statement
amenity|agreeableness,pleasantness,sweetness
amercement|fine,mulct,penalty
amethyst|chromatic,quartz
amiably|affably,genially
amity|cordiality,friendliness,peace
amnesiac|forgetful,mindless,unmindful
amoral|neutral,unmoral
amorous|amatory,loving,romantic
amphetamine|speed,stimulant,upper
amphibious|amphibian,class
amply|fully,richly
amputate|remove,take,withdraw
amulet|charm,talisman
anabolism|absorption,assimilation
anaerobe|being,organism
anaesthetic|anesthetic,drug,insensible
anagram|read,word
anal|opening,orifice
analogous|correspondent,similar
analytical|analytic,deductive,logical
anarchic|lawless,uncontrolled
anarchist|nihilist,radical
anarchy|disorder,lawlessness
anathema|condemnation,curse,execration
anathematize|deplore,execrate
anatomic|anatomical,body,morphology
anchorite|eremite,hermit
anchorman|anchor,anchorperson
anchorperson|anchor,anchorman
ancientness|antiquity,oldness
andante|slow,tempo
andiron|dog,support
android|automaton,humanoid,robot
anecdotal|account,communicative,report
anecdote|account,report
anemometer|gage,gauge
anemone|flower,windflower
anesthesiologist|anesthetist,specialist
anesthetic|anaesthetic,drug,insensible
anesthetist|anesthesiologist,specialist
anesthetize|dose,drug
angelica|flavoring,herb,seasoning
angioplasty|operation,surgery
angleworm|crawler,earthworm,wiggler
anglicize|accommodate,adapt
angora|coney,cony,rabbit
anguished|sorrowful,tortured
animadversion|censure,condemnation,disapprobation
animalcule|being,organism
animism|doctrine,ism,philosophy
animosity|animus,enmity,hostility
animus|animosity,enmity,hostility
anionic|detergent,ion
aniseed|anise,flavoring,seasoning
anisette|cordial,liqueur
anklebone|bone,talus
annalist|historian,historiographer
anneal|normalize,temper,toughen
annelid|phylum,worm
annexation|acquisition,appropriation,incorporation
annihilator|destroyer,waster
annotator|commentator,observer
announcer|broadcaster,communicator
annuitant|receiver,recipient
annular|circular,ringed,rounded
anode|electrode,pole,terminal
anodize|coat,surface
anointment|application,coating,covering
anorak|jacket,parka,windbreaker
answerable|responsible,soluble
antacid|agent,antagonistic,incompatible
antarctic|continent,polar
anteater|aardvark,placental
antecedence|earliness,precedence,priority
anthem|hymn,song,vocal
anthologize|compile,compose
anthology|collection,compendium
anthropocentric|partiality,partisanship
anthropomorphic|anthropomorphous,human
anthropomorphous|anthropomorphic,human
antibiotic|antibacterial,bactericide
anticipatory|antecedent,preceding
anticoagulant|medicament,medication,medicine
